id,topic,question,answer
0,IT Security,What is the policy on bringing personal devices (BYOD)?,Personal devices are allowed on the 'Guest' Wi-Fi network only. Under no circumstances are personal laptops or non-company-issued devices permitted to connect to the internal 'Corp-Secure' network. Accessing production databases or Tier-1 systems must be done exclusively from company-issued and managed hardware.
1,IT Security,How do I reset my MFA token?,"To reset your Multi-Factor Authentication (MFA), visit the IT Portal at id.company.com. If you have lost your primary device, you must physically visit the IT Helpdesk on Level 2 with your employee ID badge. For security reasons, remote resets are NOT allowed for lost devices under any circumstance."
2,IT Access,Why was my VPN access revoked?,"VPN access is automatically audited and revoked after 30 consecutive days of inactivity. This is a standard security measure. To reactivate your access, please submit a new request ticket via the Service Desk, which will require your direct manager's approval."
3,Software,Can I install Python libraries on my machine?,Developers may install Python libraries from the approved internal mirror (Artifactory). Installing packages directly from the public PyPI using 'pip' is blocked by the corporate firewall to mitigate supply chain attacks. Requests for new libraries to be added to the mirror require a security scan and take 3-5 business days.
4,IT Support,What is the response time for IT tickets?,Service Level Agreements (SLAs) for IT tickets are as follows: Critical system outages (Priority 1) have a 1-hour response time. Normal hardware/software requests (Priority 3) have a 24-48 hour response time. Password resets are considered self-service and should not be filed as tickets.
5,Data Governance,What is the data retention policy for project files?,"Project files stored on shared network drives are subject to a 5-year retention policy. After 5 years, they are automatically archived. Customer PII data, however, has a stricter 3-year retention limit unless legally required otherwise. Archived data is permanently deleted after 2 additional years."
6,Data Privacy,Where can I store customer PII?,"Customer PII (Personally Identifiable Information) must NEVER be stored on local laptop drives, personal cloud storage, or Google Drive. It must only be stored in the encrypted 'Secure-S3' AWS bucket or the Salesforce Production instance. Any violation of this policy is considered a major security breach and is grounds for immediate termination."
7,Engineering,What is the code review process for production releases?,"All code pushed to the 'main' branch must have at least two approvals from senior engineers. Code must also pass all automated CI/CD checks, including unit tests (80% coverage minimum) and static analysis scans. Direct pushes to 'main' are blocked; all changes must come through a Pull Request."
8,Engineering,Policy on using AI code generation tools?,"The use of approved AI code generation tools (e.g., GitHub Copilot) is permitted for general purpose code. However, you must not submit any proprietary source code, internal algorithms, or customer PII as prompts. All generated code is still subject to the standard code review and IP ownership policies."
9,Engineering,What is the on-call incident response protocol?,"The on-call engineer must acknowledge a P1 alert within 5 minutes via PagerDuty. If unacknowledged, the alert escalates to the secondary on-call. The primary is expected to establish a war room chat and initiate investigation within 15 minutes of acknowledgement. A post-mortem is required for all P1 incidents within 72 hours."
10,HR Benefits,Does the health insurance cover dental surgery?,"The Standard Health Plan covers routine dental cleanings and fillings. Major dental surgery, such as root canals and crowns, is ONLY covered under the Premium Plus plan. Orthodontics and cosmetic dentistry are explicitly excluded from all available health plans."
11,HR Leave,What is the bereavement leave policy?,"Employees are entitled to 5 days of paid bereavement leave for immediate family members (spouse, child, parent, sibling). For extended family members (grandparents, aunts, uncles), 2 days of paid leave are provided. Additional unpaid leave can be requested."
12,HR Hiring,Do I get a bonus for referring a friend?,"Yes, the Employee Referral Program pays a $2,000 bonus for successful full-time hires. The bonus is only paid out after the referred employee has successfully completed their 90-day probation period. Referrals for interns, contractors, or former employees are not eligible for this bonus."
13,L&D,What is the education budget?,"Full-time employees receive a $1,000 annual learning stipend for pre-approved courses, books, and certifications. Reimbursement is contingent on passing the final exam or completing the course. Failed exams or incomplete courses will not be reimbursed. The budget does not roll over to the next year."
14,HR Conduct,What is the policy on workplace relationships?,"Employees in a personal relationship must disclose it to HR if one individual is in a position to influence the other's career (e.g., manager-subordinate). They will be barred from performance reviews, hiring decisions, or promotion discussions concerning each other to avoid conflicts of interest."
15,Remote Work,Can I work from a coffee shop?,"Working from public locations like coffee shops or airports is permitted, provided you exclusively use the company-issued VPN. However, sensitive client data (classified as Tier-1) must NEVER be viewed on screens in public spaces due to the risk of visual hacking."
